starttime	seconds	ctime	dtime	ttime	wait
Mon Jul 26 09:40:15 2021	1627288815	36	10	46	10
Mon Jul 26 09:40:15 2021	1627288815	42	15	57	14
Mon Jul 26 09:40:18 2021	1627288818	13	44	57	33
Mon Jul 26 09:40:15 2021	1627288815	49	16	65	6
Mon Jul 26 09:40:14 2021	1627288814	41	25	66	12
Mon Jul 26 09:40:18 2021	1627288818	55	15	69	12
Mon Jul 26 09:40:18 2021	1627288818	57	16	72	9
Mon Jul 26 09:40:15 2021	1627288815	58	15	73	15
Mon Jul 26 09:40:18 2021	1627288818	69	6	75	5
Mon Jul 26 09:40:16 2021	1627288816	56	24	80	22
Mon Jul 26 09:40:14 2021	1627288814	43	39	82	33
Mon Jul 26 09:40:15 2021	1627288815	60	24	84	23
Mon Jul 26 09:40:14 2021	1627288814	71	16	87	14
Mon Jul 26 09:40:15 2021	1627288815	51	43	94	16
Mon Jul 26 09:40:16 2021	1627288816	39	62	101	61
Mon Jul 26 09:40:15 2021	1627288815	93	9	102	7
Mon Jul 26 09:40:18 2021	1627288818	89	13	102	10
Mon Jul 26 09:40:15 2021	1627288815	71	31	102	27
Mon Jul 26 09:40:15 2021	1627288815	67	40	107	39
Mon Jul 26 09:40:14 2021	1627288814	41	67	107	41
Mon Jul 26 09:40:15 2021	1627288815	72	39	111	16
Mon Jul 26 09:40:15 2021	1627288815	74	39	113	20
Mon Jul 26 09:40:14 2021	1627288814	94	19	113	18
Mon Jul 26 09:40:16 2021	1627288816	82	32	113	19
Mon Jul 26 09:40:15 2021	1627288815	62	56	117	32
Mon Jul 26 09:40:14 2021	1627288814	75	43	118	30
Mon Jul 26 09:40:15 2021	1627288815	100	18	118	17
Mon Jul 26 09:40:14 2021	1627288814	25	94	119	74
Mon Jul 26 09:40:15 2021	1627288815	94	26	120	24
Mon Jul 26 09:40:18 2021	1627288818	81	46	127	36
Mon Jul 26 09:40:15 2021	1627288815	107	20	127	16
Mon Jul 26 09:40:15 2021	1627288815	91	37	127	27
Mon Jul 26 09:40:18 2021	1627288818	112	15	127	13
Mon Jul 26 09:40:16 2021	1627288816	59	72	131	27
Mon Jul 26 09:40:16 2021	1627288816	85	46	131	37
Mon Jul 26 09:40:14 2021	1627288814	70	62	132	62
Mon Jul 26 09:40:16 2021	1627288816	79	55	134	36
Mon Jul 26 09:40:15 2021	1627288815	63	72	134	52
Mon Jul 26 09:40:17 2021	1627288817	81	56	137	23
Mon Jul 26 09:40:18 2021	1627288818	122	15	137	12
Mon Jul 26 09:40:18 2021	1627288818	131	6	137	5
Mon Jul 26 09:40:15 2021	1627288815	57	81	138	50
Mon Jul 26 09:40:18 2021	1627288818	132	7	139	7
Mon Jul 26 09:40:15 2021	1627288815	114	28	141	26
Mon Jul 26 09:40:16 2021	1627288816	79	64	143	55
Mon Jul 26 09:40:15 2021	1627288815	130	14	143	13
Mon Jul 26 09:40:14 2021	1627288814	123	20	143	16
Mon Jul 26 09:40:15 2021	1627288815	83	63	146	40
Mon Jul 26 09:40:15 2021	1627288815	113	34	146	30
Mon Jul 26 09:40:16 2021	1627288816	52	95	147	38
Mon Jul 26 09:40:15 2021	1627288815	98	50	148	35
Mon Jul 26 09:40:15 2021	1627288815	122	27	149	8
Mon Jul 26 09:40:05 2021	1627288805	132	17	149	11
Mon Jul 26 09:40:15 2021	1627288815	121	29	150	15
Mon Jul 26 09:40:14 2021	1627288814	90	60	150	20
Mon Jul 26 09:40:15 2021	1627288815	109	42	151	38
Mon Jul 26 09:40:15 2021	1627288815	78	74	152	53
Mon Jul 26 09:40:14 2021	1627288814	133	20	153	17
Mon Jul 26 09:40:14 2021	1627288814	120	32	153	31
Mon Jul 26 09:40:16 2021	1627288816	123	30	153	9
Mon Jul 26 09:40:14 2021	1627288814	94	60	153	51
Mon Jul 26 09:40:16 2021	1627288816	93	61	154	56
Mon Jul 26 09:40:16 2021	1627288816	126	28	154	28
Mon Jul 26 09:40:14 2021	1627288814	105	49	154	43
Mon Jul 26 09:40:14 2021	1627288814	49	105	154	88
Mon Jul 26 09:40:15 2021	1627288815	135	21	155	18
Mon Jul 26 09:40:18 2021	1627288818	82	75	157	68
Mon Jul 26 09:40:16 2021	1627288816	90	67	157	34
Mon Jul 26 09:40:17 2021	1627288817	101	56	157	23
Mon Jul 26 09:40:18 2021	1627288818	141	17	158	15
Mon Jul 26 09:40:17 2021	1627288817	107	52	158	29
Mon Jul 26 09:40:15 2021	1627288815	127	33	160	28
Mon Jul 26 09:40:14 2021	1627288814	80	80	160	76
Mon Jul 26 09:40:14 2021	1627288814	77	84	162	58
Mon Jul 26 09:40:14 2021	1627288814	69	95	163	92
Mon Jul 26 09:40:14 2021	1627288814	138	27	165	24
Mon Jul 26 09:40:16 2021	1627288816	98	68	166	29
Mon Jul 26 09:40:16 2021	1627288816	88	78	167	51
Mon Jul 26 09:40:14 2021	1627288814	76	91	167	79
Mon Jul 26 09:40:14 2021	1627288814	70	98	167	77
Mon Jul 26 09:40:16 2021	1627288816	96	72	168	55
Mon Jul 26 09:40:15 2021	1627288815	87	81	168	31
Mon Jul 26 09:40:14 2021	1627288814	113	56	169	56
Mon Jul 26 09:40:16 2021	1627288816	111	58	169	58
Mon Jul 26 09:40:15 2021	1627288815	119	54	173	34
Mon Jul 26 09:40:18 2021	1627288818	152	22	174	20
Mon Jul 26 09:40:14 2021	1627288814	86	90	175	66
Mon Jul 26 09:40:15 2021	1627288815	129	47	176	24
Mon Jul 26 09:40:18 2021	1627288818	101	75	176	68
Mon Jul 26 09:40:16 2021	1627288816	59	119	178	54
Mon Jul 26 09:40:16 2021	1627288816	102	75	178	47
Mon Jul 26 09:40:16 2021	1627288816	110	68	179	24
Mon Jul 26 09:40:14 2021	1627288814	89	92	181	55
Mon Jul 26 09:40:16 2021	1627288816	74	108	181	51
Mon Jul 26 09:40:14 2021	1627288814	162	22	184	19
Mon Jul 26 09:40:15 2021	1627288815	159	25	184	10
Mon Jul 26 09:40:18 2021	1627288818	67	117	184	53
Mon Jul 26 09:40:18 2021	1627288818	122	62	184	24
Mon Jul 26 09:40:14 2021	1627288814	134	54	188	52
Mon Jul 26 09:40:14 2021	1627288814	130	57	188	57
Mon Jul 26 09:40:14 2021	1627288814	125	64	189	52
Mon Jul 26 09:40:18 2021	1627288818	177	15	191	8
Mon Jul 26 09:40:15 2021	1627288815	139	52	191	44
Mon Jul 26 09:40:14 2021	1627288814	114	77	191	74
Mon Jul 26 09:40:14 2021	1627288814	96	96	193	85
Mon Jul 26 09:40:16 2021	1627288816	87	106	193	85
Mon Jul 26 09:40:15 2021	1627288815	160	35	195	26
Mon Jul 26 09:40:14 2021	1627288814	106	89	196	50
Mon Jul 26 09:40:16 2021	1627288816	150	48	198	44
Mon Jul 26 09:40:14 2021	1627288814	100	99	199	94
Mon Jul 26 09:40:14 2021	1627288814	32	168	200	159
Mon Jul 26 09:40:16 2021	1627288816	120	82	202	36
Mon Jul 26 09:40:14 2021	1627288814	112	91	203	91
Mon Jul 26 09:40:17 2021	1627288817	185	18	203	16
Mon Jul 26 09:40:16 2021	1627288816	84	120	204	86
