starttime	seconds	ctime	dtime	ttime	wait
Sun Jul 25 19:00:19 2021	1627264819	5	41	46	41
Sun Jul 25 19:00:19 2021	1627264819	5	72	78	72
Sun Jul 25 19:00:19 2021	1627264819	5	73	78	73
Sun Jul 25 19:00:19 2021	1627264819	5	74	80	74
Sun Jul 25 19:00:19 2021	1627264819	5	76	81	76
Sun Jul 25 19:00:19 2021	1627264819	5	78	83	78
Sun Jul 25 19:00:19 2021	1627264819	5	79	85	79
Sun Jul 25 19:00:19 2021	1627264819	5	81	86	81
Sun Jul 25 19:00:19 2021	1627264819	5	82	87	82
Sun Jul 25 19:00:19 2021	1627264819	5	84	89	84
Sun Jul 25 19:00:19 2021	1627264819	5	85	90	85
Sun Jul 25 19:00:19 2021	1627264819	5	87	92	87
Sun Jul 25 19:00:19 2021	1627264819	5	89	94	89
Sun Jul 25 19:00:19 2021	1627264819	5	91	95	91
Sun Jul 25 19:00:19 2021	1627264819	5	93	97	93
Sun Jul 25 19:00:20 2021	1627264820	0	98	98	98
Sun Jul 25 19:00:20 2021	1627264820	0	99	99	99
Sun Jul 25 19:00:19 2021	1627264819	5	95	99	95
Sun Jul 25 19:00:20 2021	1627264820	1	98	100	98
Sun Jul 25 19:00:20 2021	1627264820	1	101	102	101
Sun Jul 25 19:00:20 2021	1627264820	0	102	102	102
Sun Jul 25 19:00:20 2021	1627264820	0	102	102	102
Sun Jul 25 19:00:20 2021	1627264820	0	102	103	102
Sun Jul 25 19:00:20 2021	1627264820	1	101	103	101
Sun Jul 25 19:00:20 2021	1627264820	1	101	103	101
Sun Jul 25 19:00:20 2021	1627264820	0	103	103	103
Sun Jul 25 19:00:20 2021	1627264820	0	104	104	104
Sun Jul 25 19:00:20 2021	1627264820	0	104	104	104
Sun Jul 25 19:00:20 2021	1627264820	0	104	104	104
Sun Jul 25 19:00:20 2021	1627264820	0	104	104	104
Sun Jul 25 19:00:19 2021	1627264819	5	99	104	99
Sun Jul 25 19:00:20 2021	1627264820	0	104	104	104
Sun Jul 25 19:00:20 2021	1627264820	0	104	104	104
Sun Jul 25 19:00:20 2021	1627264820	0	104	104	104
Sun Jul 25 19:00:20 2021	1627264820	0	104	104	104
Sun Jul 25 19:00:20 2021	1627264820	1	103	105	103
Sun Jul 25 19:00:20 2021	1627264820	1	104	105	103
Sun Jul 25 19:00:20 2021	1627264820	0	105	105	105
Sun Jul 25 19:00:20 2021	1627264820	0	105	105	105
Sun Jul 25 19:00:20 2021	1627264820	0	105	105	105
Sun Jul 25 19:00:20 2021	1627264820	0	105	105	105
Sun Jul 25 19:00:20 2021	1627264820	0	105	106	105
Sun Jul 25 19:00:20 2021	1627264820	0	106	106	106
Sun Jul 25 19:00:20 2021	1627264820	0	106	106	106
Sun Jul 25 19:00:20 2021	1627264820	0	106	106	106
Sun Jul 25 19:00:19 2021	1627264819	5	102	106	102
Sun Jul 25 19:00:20 2021	1627264820	0	106	106	106
Sun Jul 25 19:00:20 2021	1627264820	0	106	106	106
Sun Jul 25 19:00:20 2021	1627264820	0	106	106	106
Sun Jul 25 19:00:20 2021	1627264820	0	106	106	106
Sun Jul 25 19:00:20 2021	1627264820	0	107	107	107
Sun Jul 25 19:00:20 2021	1627264820	0	107	107	107
Sun Jul 25 19:00:20 2021	1627264820	0	107	107	107
Sun Jul 25 19:00:20 2021	1627264820	0	107	107	107
Sun Jul 25 19:00:20 2021	1627264820	0	107	107	107
Sun Jul 25 19:00:20 2021	1627264820	0	107	107	107
