starttime	seconds	ctime	dtime	ttime	wait
Sun Jul 25 21:34:13 2021	1627274053	0	72	72	72
Sun Jul 25 21:34:13 2021	1627274053	0	72	73	72
Sun Jul 25 21:34:13 2021	1627274053	0	73	73	73
Sun Jul 25 21:34:13 2021	1627274053	0	73	74	73
Sun Jul 25 21:34:13 2021	1627274053	1	75	75	75
Sun Jul 25 21:34:13 2021	1627274053	1	76	77	76
Sun Jul 25 21:34:13 2021	1627274053	1	76	77	76
Sun Jul 25 21:34:13 2021	1627274053	1	77	78	77
Sun Jul 25 21:34:13 2021	1627274053	1	80	81	80
Sun Jul 25 21:34:13 2021	1627274053	1	81	82	81
Sun Jul 25 21:34:13 2021	1627274053	1	82	83	82
Sun Jul 25 21:34:13 2021	1627274053	1	83	83	83
Sun Jul 25 21:34:13 2021	1627274053	2	82	84	82
Sun Jul 25 21:34:13 2021	1627274053	2	83	84	82
Sun Jul 25 21:34:13 2021	1627274053	2	86	88	86
Sun Jul 25 21:34:13 2021	1627274053	0	90	90	90
Sun Jul 25 21:34:13 2021	1627274053	0	90	90	90
Sun Jul 25 21:34:13 2021	1627274053	2	88	90	88
Sun Jul 25 21:34:13 2021	1627274053	0	90	90	90
Sun Jul 25 21:34:13 2021	1627274053	2	89	91	89
Sun Jul 25 21:34:13 2021	1627274053	0	91	91	91
Sun Jul 25 21:34:13 2021	1627274053	2	89	91	89
Sun Jul 25 21:34:13 2021	1627274053	0	91	91	91
Sun Jul 25 21:34:13 2021	1627274053	0	91	91	91
Sun Jul 25 21:34:13 2021	1627274053	0	91	91	91
Sun Jul 25 21:34:13 2021	1627274053	0	91	92	91
Sun Jul 25 21:34:13 2021	1627274053	0	91	92	91
Sun Jul 25 21:34:13 2021	1627274053	0	92	92	91
Sun Jul 25 21:34:13 2021	1627274053	0	92	92	92
Sun Jul 25 21:34:13 2021	1627274053	0	92	92	92
Sun Jul 25 21:34:13 2021	1627274053	0	92	92	92
Sun Jul 25 21:34:13 2021	1627274053	0	92	92	92
Sun Jul 25 21:34:13 2021	1627274053	0	92	92	92
Sun Jul 25 21:34:13 2021	1627274053	0	92	92	92
Sun Jul 25 21:34:13 2021	1627274053	0	92	92	92
Sun Jul 25 21:34:13 2021	1627274053	0	92	92	92
Sun Jul 25 21:34:13 2021	1627274053	0	92	92	92
