starttime	seconds	ctime	dtime	ttime	wait
Sun Jul 25 18:52:34 2021	1627264354	0	4	4	2
Sun Jul 25 18:52:34 2021	1627264354	2	7	8	7
Sun Jul 25 18:52:34 2021	1627264354	1	7	9	7
Sun Jul 25 18:52:34 2021	1627264354	1	8	10	8
Sun Jul 25 18:52:34 2021	1627264354	1	10	11	10
Sun Jul 25 18:52:34 2021	1627264354	1	11	12	11
Sun Jul 25 18:52:34 2021	1627264354	1	12	13	12
Sun Jul 25 18:52:34 2021	1627264354	0	14	14	14
Sun Jul 25 18:52:34 2021	1627264354	0	14	14	14
Sun Jul 25 18:52:34 2021	1627264354	1	13	14	13
Sun Jul 25 18:52:34 2021	1627264354	0	14	14	14
Sun Jul 25 18:52:34 2021	1627264354	0	14	15	14
Sun Jul 25 18:52:34 2021	1627264354	0	15	15	15
Sun Jul 25 18:52:34 2021	1627264354	0	15	15	15
Sun Jul 25 18:52:34 2021	1627264354	1	14	15	14
Sun Jul 25 18:52:34 2021	1627264354	0	16	16	16
Sun Jul 25 18:52:34 2021	1627264354	0	16	16	16
Sun Jul 25 18:52:34 2021	1627264354	0	16	16	16
Sun Jul 25 18:52:34 2021	1627264354	0	16	16	16
Sun Jul 25 18:52:34 2021	1627264354	0	16	16	16
Sun Jul 25 18:52:34 2021	1627264354	0	16	16	16
Sun Jul 25 18:52:34 2021	1627264354	0	16	16	16
Sun Jul 25 18:52:34 2021	1627264354	0	16	16	16
Sun Jul 25 18:52:34 2021	1627264354	0	16	16	16
Sun Jul 25 18:52:34 2021	1627264354	0	16	16	16
Sun Jul 25 18:52:34 2021	1627264354	0	16	16	16
Sun Jul 25 18:52:34 2021	1627264354	0	16	16	16
Sun Jul 25 18:52:34 2021	1627264354	0	16	16	16
Sun Jul 25 18:52:34 2021	1627264354	0	16	16	16
Sun Jul 25 18:52:34 2021	1627264354	0	16	16	16
Sun Jul 25 18:52:34 2021	1627264354	0	16	16	16
Sun Jul 25 18:52:34 2021	1627264354	1	16	17	16
Sun Jul 25 18:52:34 2021	1627264354	0	18	18	18
Sun Jul 25 18:52:34 2021	1627264354	1	17	18	17
Sun Jul 25 18:52:34 2021	1627264354	1	18	19	18
Sun Jul 25 18:52:34 2021	1627264354	1	18	19	18
Sun Jul 25 18:52:34 2021	1627264354	1	18	19	18
Sun Jul 25 18:52:34 2021	1627264354	0	20	20	20
Sun Jul 25 18:52:34 2021	1627264354	0	21	22	21
Sun Jul 25 18:52:34 2021	1627264354	0	22	22	22
Sun Jul 25 18:52:34 2021	1627264354	1	22	23	22
Sun Jul 25 18:52:34 2021	1627264354	0	23	23	23
Sun Jul 25 18:52:34 2021	1627264354	1	23	24	23
Sun Jul 25 18:52:34 2021	1627264354	0	24	24	24
Sun Jul 25 18:52:34 2021	1627264354	1	24	24	24
Sun Jul 25 18:52:34 2021	1627264354	0	25	25	25
Sun Jul 25 18:52:34 2021	1627264354	0	25	25	25
Sun Jul 25 18:52:34 2021	1627264354	0	25	25	25
Sun Jul 25 18:52:34 2021	1627264354	0	25	25	25
Sun Jul 25 18:52:34 2021	1627264354	0	25	25	25
Sun Jul 25 18:52:34 2021	1627264354	0	26	26	26
Sun Jul 25 18:52:34 2021	1627264354	0	25	26	25
Sun Jul 25 18:52:34 2021	1627264354	0	26	26	26
Sun Jul 25 18:52:34 2021	1627264354	0	26	27	26
Sun Jul 25 18:52:34 2021	1627264354	0	26	27	26
Sun Jul 25 18:52:34 2021	1627264354	0	27	27	27
Sun Jul 25 18:52:34 2021	1627264354	0	27	27	27
Sun Jul 25 18:52:34 2021	1627264354	0	28	28	28
Sun Jul 25 18:52:34 2021	1627264354	0	33	33	32
Sun Jul 25 18:52:34 2021	1627264354	0	40	40	40
Sun Jul 25 18:52:34 2021	1627264354	0	135	135	135
Sun Jul 25 18:52:34 2021	1627264354	0	135	135	135
Sun Jul 25 18:52:34 2021	1627264354	0	135	135	135
Sun Jul 25 18:52:34 2021	1627264354	0	135	135	135
Sun Jul 25 18:52:34 2021	1627264354	0	135	135	135
Sun Jul 25 18:52:34 2021	1627264354	0	139	139	139
Sun Jul 25 18:52:34 2021	1627264354	0	139	139	139
Sun Jul 25 18:52:34 2021	1627264354	0	140	140	140
Sun Jul 25 18:52:34 2021	1627264354	0	141	141	141
Sun Jul 25 18:52:34 2021	1627264354	0	141	141	141
Sun Jul 25 18:52:34 2021	1627264354	0	141	141	141
Sun Jul 25 18:52:34 2021	1627264354	0	142	142	142
Sun Jul 25 18:52:34 2021	1627264354	0	142	142	142
Sun Jul 25 18:52:34 2021	1627264354	0	142	142	142
Sun Jul 25 18:52:34 2021	1627264354	0	142	142	142
Sun Jul 25 18:52:34 2021	1627264354	0	142	143	142
Sun Jul 25 18:52:34 2021	1627264354	0	143	143	143
Sun Jul 25 18:52:34 2021	1627264354	0	143	143	143
Sun Jul 25 18:52:34 2021	1627264354	0	143	144	143
Sun Jul 25 18:52:34 2021	1627264354	0	144	144	144
Sun Jul 25 18:52:34 2021	1627264354	0	149	149	149
Sun Jul 25 18:52:34 2021	1627264354	0	150	150	150
Sun Jul 25 18:52:34 2021	1627264354	0	150	150	150
Sun Jul 25 18:52:34 2021	1627264354	0	152	152	152
Sun Jul 25 18:52:34 2021	1627264354	0	153	153	153
Sun Jul 25 18:52:34 2021	1627264354	0	155	155	155
Sun Jul 25 18:52:34 2021	1627264354	0	155	155	155
Sun Jul 25 18:52:34 2021	1627264354	0	159	159	159
Sun Jul 25 18:52:34 2021	1627264354	0	159	159	159
Sun Jul 25 18:52:34 2021	1627264354	0	159	159	159
Sun Jul 25 18:52:34 2021	1627264354	0	160	160	160
Sun Jul 25 18:52:34 2021	1627264354	0	160	160	160
Sun Jul 25 18:52:34 2021	1627264354	0	160	160	160
Sun Jul 25 18:52:34 2021	1627264354	0	160	160	160
Sun Jul 25 18:52:34 2021	1627264354	0	161	161	161
Sun Jul 25 18:52:34 2021	1627264354	0	162	162	162
Sun Jul 25 18:52:34 2021	1627264354	0	163	163	163
Sun Jul 25 18:52:34 2021	1627264354	0	163	163	163
Sun Jul 25 18:52:34 2021	1627264354	0	164	164	164
Sun Jul 25 18:52:34 2021	1627264354	0	165	165	165
